id,date,departureTime,arrivalTime,flightNumber,from_code,from,to_code,to,availableSeats,distance,hours,minutes,price
278,2021/10/15,1127,1421,1143,SEF,Sebring,CPO,Copiapo,200,1023,11,29,161.22
279,2021/10/15,1128,1422,987,TSY,Tasikmalaya,KAU,Kauhava,200,997,11,29,68.71
280,2021/12/18,1130,1301,327,PEH,Pehuajo,PYJ,Yakutia,200,733,11,25,81.63
281,2021/5/7,1130,1345,2219,RGN,Yangon,FIG,Fira,200,1020,11,31,115.14
282,2021/11/25,1132,1324,4553,CWE,Cairo,EAM,Nejran,200,419,11,35,131.01
283,2021/12/6,1133,1440,133,PIR,Pierre,ERZ,Erzurum,200,1074,11,29,141.81
284,2021/12/8,1133,1448,409,TNG,Tanger,PRP,Propriano,200,2475,11,30,154.59
285,2021/8/21,1135,1429,1623,IQN,Qingyang,FAY,Fayetteville,200,1085,11,40,75.67
286,2021/5/14,1137,1445,2175,BIN,Bamyan,NGZ,Alameda,200,1035,11,40,38.51
287,2021/8/2,1143,1512,1010,GOI,Goa,GDL,Guadalajara,200,2434,11,45,178.2
288,2021/5/22,1144,1422,4876,TGN,Morwell,ODH,Odiham,200,746,11,45,40.66
289,2021/11/19,1147,1335,353,TIP,Tripoli,NCG,Nuevo Casas Grandes,200,397,11,55,199.3
290,2021/8/7,1150,1302,4693,SDP,Sand Point,LXR,Luxor,200,195,11,56,64.1
291,2021/6/22,1153,1350,4275,FOK,West Hampton Beach,PHC,Port Hartcourt,200,463,11,59,161.29
292,2021/10/28,1153,1454,1,VPN,Vopnafjörður,SRZ,Santa Cruz,200,1069,11,23,182.61
293,2021/12/15,1153,1450,863,MPK,Mokpo,LRA,Larissa,200,2475,12,0,185.47
294,2021/9/5,1154,1253,1174,SXF,Berlin,GBJ,Grand Bourg,200,200,12,0,152.61
295,2021/11/11,1154,1452,4658,NSK,Norilsk,HON,Huron,200,762,12,0,47.18
296,2021/9/12,1155,1517,3,ROT,Rotorua,XAP,Chapeco,200,2475,12,0,18.24
297,2021/11/13,1155,1507,1443,DHA,Dhahran,SKF,San Antonio,200,1076,12,0,161.13
298,2021/5/6,1155,1441,1947,CVF,Courcheval,FOG,Foggia,200,762,12,0,49.17
299,2021/10/5,1155,1312,4425,PTT,Pratt,FNI,Nimes,200,213,12,0,93.2
300,2021/10/26,1157,1310,4511,DKS,Dikson,MXP,Milano,200,246,11,58,133.32
301,2021/11/21,1157,1342,4431,YAM,Sault Sainte Marie,PWK,Chicago-Wheeling,200,431,12,5,174.14
302,2021/7/18,1157,1452,1197,JOH,Port Saint Johns,VRA,Varadero,200,937,12,0,140.97
303,2021/5/6,1158,1530,743,ZIN,Interlaken,HKG,Hong Kong,200,1389,12,5,86.46
304,2021/10/7,1158,1256,1568,ZSE,St.-pierre,DOV,Dover,200,169,12,0,147.95
305,2021/8/2,1158,1338,701,YGZ,Grise Fiord,SBZ,Sibiu,200,733,12,0,151.94
306,2021/12/19,1200,1408,1443,DBD,Dhanbad,SCH,Scotia NY,200,541,12,0,177.6
307,2021/12/29,1202,1318,4347,AHB,Abha,ZRH,Zurich,200,266,12,7,120.75
308,2021/6/30,1202,1645,1663,HGH,Hangzhou,HCQ,Halls Creek,200,1608,11,59,166.17
309,2021/5/26,1203,1501,3850,YUS,Yushu,CAK,Akron,200,746,12,5,110.21
310,2021/6/3,1203,1519,25,AGB,Augsburg,DNP,Dang,200,2586,12,0,54.92
311,2021/12/26,1204,1500,523,GRZ,Graz,FLR,Florence,200,937,12,0,120.95
312,2021/6/9,1205,1503,1461,XAU,Saul,XIY,Xi'an,200,1400,12,0,103.3
313,2021/9/17,1206,1325,4216,KEV,Halli,SAG,Shirdi,200,282,12,9,31.04
314,2021/10/25,1208,1540,625,HHZ,Hikueru,MQH,Minacu,200,1428,11,58,87.65
315,2021/5/7,1211,1423,4135,ITP,Itaperuna,DVT,Phoenix ,200,529,12,15,53.72
316,2021/8/12,1217,1414,3697,AMQ,Ambon,AZS,Samana,200,719,12,20,37.45
317,2021/10/12,1217,1525,391,PYB,Jeypore,SOB,Sármellék,200,2565,12,18,68.43
318,2021/5/11,1219,1415,1757,JIK,Ikaria,MRU,Plaisance,200,888,12,20,190.7
319,2021/5/26,1219,1451,1715,PMC,Puerto Montt,TBZ,Tabriz,200,1183,12,25,89.8
320,2021/5/12,1220,1403,133,IRA,Kirakira,GOV,Gove,200,711,12,20,53.35
321,2021/5/29,1222,1512,4679,MHD,Mashhad,MWH,Grant County Airport,200,820,11,59,42.81
322,2021/10/9,1222,1520,27,ING,El Calafate,HOF,Al-ahsa,200,1005,12,29,95.47
323,2021/12/21,1228,1631,1114,LBJ,Labuhan Bajo,ZCL,Zacatecas,200,2133,12,24,165.56
324,2021/5/21,1230,1440,5311,PGD,Punta Gorda,BDT,Gbadolite,200,488,12,35,41.98
325,2021/5/9,1231,1449,1131,MAK,Malakal,MUA,Munda,200,502,12,38,52.96
326,2021/9/8,1231,1523,428,MOD,Modesto,TRQ,Tarauaca,200,1065,12,29,22.84
327,2021/8/28,1237,1340,1850,LNB,Lamen Bay,HRM,Tilrempt,200,187,12,45,185.42
328,2021/5/2,1238,1410,564,AOH,Lima,LCY,London,200,738,12,40,70.94
329,2021/10/2,1240,1451,4118,GET,Geraldton,AEX,Alexandria,200,488,12,29,99.25
330,2021/7/12,1240,1554,2253,HYC,Wycombe,WMI,Warsaw,200,1096,12,45,38.76
331,2021/11/28,1240,1415,4404,TAI,Taiz,ODY,Muang Xay,200,427,12,35,64.25
332,2021/12/30,1241,1342,4129,DUR,Durban,CNL,Sindal,200,199,12,47,32.09
333,2021/9/16,1245,1616,2174,YAM,Sault Sainte Marie,UNG,Kiunga,200,1990,12,45,34.99
334,2021/5/12,1245,1722,315,TSH,Tshikapa,OTZ,Kotzebue,200,1598,12,49,10.2
335,2021/8/16,1246,1424,66,SHL,Shillong,CCF,Carcassonne,200,301,12,25,117.89
336,2021/8/16,1248,1607,1280,CFD,Bryan,ZNF,Hanau,200,1416,12,50,162.79
337,2021/11/15,1251,1611,85,BBC,Bay City,LYM,Lympne,200,1069,12,52,117.77
338,2021/12/7,1252,1624,745,YTY,Yangzhou,BTS,Bratislava,200,1389,12,45,37.41
339,2021/10/11,1253,1524,754,RMF,Marsa Alam,MZT,Mazatlan,200,1605,12,12,164.45
340,2021/11/17,1255,1541,781,ODE,Odense,MKL,Jackson,200,762,13,0,39.78
341,2021/7/10,1255,1540,1251,NKX,Miramar,COJ,Coonabarabran,200,1620,12,55,169.5
342,2021/6/12,1255,1451,4601,OKD,Sapporo,MST,Maastricht,200,764,12,0,95.11
343,2021/10/26,1255,1501,1459,ESE,Ensenada,QPW,Kangaatsiaq,200,544,12,59,128.92
344,2021/9/2,1255,1401,2128,OYE,Oyem,HFT,Hammerfest,200,184,13,0,170.62
345,2021/6/28,1257,1601,209,ACH,Altenrhein,CHM,Chimbote,200,2465,12,58,199.79
346,2021/6/13,1257,1454,4426,YOC,Old Crow,JNB,Johannesburg,200,479,13,0,69.71
347,2021/7/29,1258,1532,348,NVT,Navegantes,BQH,Biggin Hill,200,762,13,8,87.11
348,2021/7/25,1258,1459,329,YYE,Fort Nelson,YHO,Hopedale,200,733,13,0,185.54
349,2021/12/7,1301,1633,1853,MOO,Moomba,CTD,Chitré,200,1372,12,40,24.07
350,2021/10/1,1301,1518,4646,SOJ,Sorkjosen,CTA,Catania,200,1020,11,50,74.78
351,2021/12/19,1301,1629,765,PIZ,Point Lay,TCC,Tucumcari,200,1372,12,55,151.65
352,2021/12/21,1302,1402,1006,LYE,Lyneham,KOJ,Kagoshima,200,187,12,59,82.1
353,2021/11/6,1302,1553,1435,BRU,Brussels,YFE,Forestville,200,1085,13,0,146.88
354,2021/6/8,1304,1518,4640,SIN,Singapore,OND,Ondangwa,200,533,12,27,101.69
355,2021/10/20,1304,1430,32,NDU,Rundu,MEN,Mende,200,264,12,59,157.3
356,2021/10/24,1305,1523,4564,NRD,Norderney,HSK,Huesca,200,502,13,15,114.13
357,2021/8/19,1306,1622,2041,CSX,Changcha,EXT,Exeter,200,1089,12,40,79.61
358,2021/10/23,1306,1622,2596,CWE,Cairo,FLN,Florianopolis,200,1411,13,0,114.03
359,2021/11/4,1310,1559,991,MNI,Geralds,HOI,Hao Island,200,1028,13,0,187.44
360,2021/5/14,1314,1507,1615,ERH,Er-rachidia,LCK,Columbus,200,529,13,15,27.1
361,2021/5/16,1315,1413,4112,VDB,Fagernes,TAP,Tapachula,200,143,13,17,133.92
362,2021/12/10,1316,1412,4340,LAX,Los Angeles,FAZ,Fasa,200,169,13,14,119.29
363,2021/7/22,1317,1454,4475,GID,Gitega,NOA,Nowra,200,431,13,25,70.84
364,2021/10/30,1318,1358,4106,MLY,Manley Hot Springs,UGU,Sugapa-Papua Island,200,116,13,22,110.59
365,2021/5/21,1320,1602,393,AKN,King Salmon,UKX,Ust-Kut,200,950,13,15,95.26
366,2021/10/1,1320,1625,1425,DLF,Del Rio,HEA,Herat,200,2454,13,20,160.74
367,2021/9/29,1323,1651,1185,KIW,Southdowns,BSD,Baoshan,200,1969,13,0,34.98
368,2021/11/14,1325,1606,2043,HKT,Phuket,MOI,Mitiaro Island,200,760,13,30,132.11
369,2021/7/7,1327,1638,411,LTD,Ghadames,TMG,Tomanggong,200,2475,13,30,128.92
370,2021/11/12,1327,1624,906,IWJ,Iwami,KIO,Kili Island,200,1065,13,29,92.18
371,2021/5/5,1330,1613,3849,KWK,Kwigillingok,KSC,Kosice,200,645,13,21,93.03
372,2021/5/2,1333,1608,615,TUU,Tabuk,LIQ,Lisala,200,828,13,35,97.55
373,2021/6/15,1336,1508,4665,RBX,Rumbek,ANU,Antigua,200,319,13,40,59.14
374,2021/11/16,1337,1649,673,OZZ,Ouarzazate,JSU,Maniitsoq,200,2475,12,20,34.9
375,2021/8/10,1339,1642,1073,MDC,Manado,JAS,Jasper,200,1096,13,45,125.07
376,2021/9/23,1339,1654,431,EOR,El Dorado,YAA,Anahim Lake,200,1047,13,35,102.02
377,2021/7/28,1341,1709,117,BFV,Buri Ram,AIN,Wainwright,200,2475,13,45,99.81
378,2021/11/17,1342,1617,3832,ZTA,Tureia,ESD,Eastsound,200,872,13,20,155.95
379,2021/11/2,1343,1658,753,AEG,Padang Sidempuan,EZV,Berezovo,200,1389,13,30,77.38
380,2021/7/7,1344,2005,15,KMO,Manokotak,YBA,Banff,200,4963,13,44,187.67
381,2021/11/14,1346,1736,2335,KCA,Kuqa,CBD,Carnicobar,200,2133,13,30,83.41
382,2021/6/27,1350,1504,4254,GBG,Galesburg,EDI,Edinburgh,200,282,13,29,130.98
383,2021/5/21,1350,1456,602,MJD,Moenjodaro,CVN,Clovis,200,273,13,55,91.17
384,2021/12/25,1351,1446,4434,MSZ,Mocamedes,DGE,Mudgee,200,209,13,55,91.47
385,2021/12/10,1353,1549,4171,PKE,Parkes,SFO,San Francisco,200,799,13,57,64.3
386,2021/7/25,1354,1556,4370,BBL,Ballera,BEI,Beica,200,628,13,56,11.95
387,2021/11/17,1354,1452,2068,RNJ,Yoron,FMY,Fort Myers,200,187,13,59,188.75
388,2021/5/22,1355,1538,4552,GRZ,Graz,TTJ,Tottori,200,445,13,15,105.01
389,2021/11/9,1355,1646,1783,MWH,Grant County Airport,ADM,Ardmore,200,944,13,56,136.6
390,2021/9/10,1355,1537,2162,AVK,Arvaikheer,YGT,Igloolik,200,725,13,50,38.96
391,2021/10/19,1356,1612,4577,BOB,Bora Bora,NTU,Oceana,200,544,13,50,173.99
392,2021/8/28,1356,1538,32,YLY,Langley Township,QRY,Ikerasaarsuk,200,719,12,59,194.84
393,2021/10/9,1356,1537,617,CXH,Vancouver,PBO,Paraburdoo,200,733,13,54,118.4
394,2021/9/29,1356,1659,1258,BRW,Barrow,BYP,Barimunya,200,1400,13,50,36.12
395,2021/9/5,1358,1742,688,TVC,Traverse City,THU,Thule,200,2133,13,50,150.53
396,2021/10/29,1400,1645,4869,CHT,Chatham Island,BQL,Boulia,200,963,12,50,83.71
397,2021/11/7,1400,1634,2247,WDS,Shiyan,MOA,Moa,200,762,14,0,27.5
398,2021/12/26,1402,1650,4516,KLG,Kalskag,MUS,Minami Tori Shima,200,946,13,23,179.16
399,2021/11/2,1408,1646,349,CCF,Carcassonne,ARB,Ann Arbor,200,762,14,11,189.93
400,2021/5/21,1411,1717,505,UYN,Yulin,MRK,Marco Island Airport,200,1065,13,15,137.4
401,2021/10/3,1416,1603,683,TPH,Tonopah,KDT,Nakhon Pathom,200,719,14,11,77.71
402,2021/9/9,1418,1726,16,GAQ,Gao,VBY,Visby,200,2402,14,19,49.45
403,2021/11/5,1419,1557,3728,AGH,Ängelholm,MCT,Muscat,200,719,14,20,139.12
404,2021/8/8,1421,1517,1010,HUQ,Hon,TKC,Tiko,200,187,14,22,102.5
405,2021/12/20,1421,1735,83,LCJ,Lodz,ORA,Oran,200,2422,13,55,47.54
406,2021/8/21,1421,1724,1531,GML,Kiev,ICI,Cicia,200,1080,14,30,185.94
407,2021/5/5,1422,1613,4491,KIV,Chisinau,VIR,Durban,200,419,14,10,115.37
408,2021/7/14,1422,1748,257,BFT,Beaufort,KZC,Kompong Chnang,200,2586,14,25,12.36
409,2021/6/7,1423,1535,5710,AVB,Aviano,OYO,Tres Arroyos,200,229,14,30,188.14
410,2021/12/6,1424,1701,4687,MMU,Morristown,AXM,Armenia,200,569,13,49,159.87
411,2021/12/28,1424,1659,4935,PBN,Porto Amboim,ZNF,Hanau,200,746,14,20,26.96
412,2021/5/16,1428,1803,355,SHV,Shreveport,KOU,Koulamoutou,200,2465,13,29,21.29
413,2021/6/29,1430,1718,278,LWT,Lewistown,BZI,Balikesir,200,1023,13,59,106.24
414,2021/9/28,1430,1735,997,AIS,Arorae,AJY,Agadez,200,1416,14,30,18.25
415,2021/11/16,1431,1727,1161,JNS,Narsaq,DYR,Anadyr,200,1035,14,29,52.42
416,2021/9/30,1431,1627,601,OVS,Sovetskiy,TAP,Tapachula,200,404,14,40,186.96
417,2021/7/4,1433,1636,1819,YUD,Umiujaq,GFN,Grafton,200,1020,14,35,179.08
418,2021/9/30,1436,1840,1322,KMC,King Khalid Mil.city,CCS,Caracas,200,2586,14,35,118.46
419,2021/12/9,1439,1558,1972,YBX,Lourdes-De-Blanc-Sablon,DNP,Dang,200,213,14,45,172.8
420,2021/11/1,1440,1658,1231,NPR,Novo Progresso,TCQ,Tacna,200,502,14,40,147.4
421,2021/5/13,1442,1728,1813,VDC,Vitória Da Conquista,YDA,Dawson,200,944,14,50,154.91
422,2021/11/9,1443,1600,4292,KLF,Kaluga,RCB,Richard's Bay,200,212,14,44,10.63
423,2021/11/1,1445,1635,337,YEL,ELLIOT LAKE,KGI,Kalgoorlie,200,733,14,55,86.28
424,2021/11/7,1445,1729,4669,RSW,Fort Myers,TOC,Toccoa,200,762,14,45,62.1
425,2021/7/3,1446,1803,1769,TLK,Talakan,IFJ,Isafjordur,200,1089,14,55,127.18
426,2021/8/6,1448,1651,1445,SNE,Sao Nocolau Island,KGA,Kananga,200,544,14,45,117.27
427,2021/5/13,1449,1651,4403,GYD,Baku,TJQ,Tanjung Pandan,200,427,14,50,171.72
428,2021/10/4,1451,1634,4105,KER,Kerman,MYP,Mary,200,228,15,0,58.82
429,2021/9/26,1452,1637,3295,PKU,Pekanbaru,EOH,Medellin,200,301,14,55,101.19
430,2021/12/20,1452,1753,61,BJI,Bemidji,RNZ,Rensselaer,200,1069,14,57,122.06
431,2021/7/19,1453,1707,4172,LTX,Latacunga,CHY,Choiseul Bay,200,425,14,50,163.28
432,2021/5/13,1453,1601,2179,BDD,Badu Island,ULK,Lensk,200,214,15,0,32.55
433,2021/8/11,1454,1554,4390,CHM,Chimbote,ZSE,St.-pierre,200,284,14,58,80.84
434,2021/5/16,1454,1635,3843,NYK,Nanyuki,RAJ,Rajkot,200,209,15,0,172.94
435,2021/12/20,1454,1815,1467,BCE,Bryce Canyon,ABK,Kabri Dehar,200,2475,15,0,198.55
436,2021/7/11,1455,1731,119,EZS,Elazig,GWL,Gwalior,200,1182,14,57,89.73
437,2021/7/16,1455,1655,1053,SEM,Selma,MBS,Saginaw,200,340,14,59,148.09
438,2021/6/16,1455,1753,1997,CLT,Charlotte,BOW,Bartow,200,1035,15,0,97.74
439,2021/7/25,1456,1649,685,ENN,Nenana,LTX,Latacunga,200,733,15,0,97.53
440,2021/9/7,1456,1830,1134,BIY,Bisho,YWB,Kangiqsujuaq,200,1504,14,55,11.77
441,2021/7/21,1457,1758,379,ILP,Île des Pins,DRJ,Drietabbetje,200,1068,15,0,12.72
442,2021/9/2,1457,1652,720,GEL,Santo Angelo,JQA,Uummannaq,200,529,15,0,75.07
443,2021/5/11,1458,1658,4429,CXJ,Caxias Do Sul,MNF,Mana Island,200,479,15,0,153.21
444,2021/11/4,1459,1651,5675,BSU,Basankusu,LUG,Lugano,200,463,15,1,90.61
445,2021/11/18,1459,1750,1105,SOF,Sofia,JHW,Jamestown,200,997,14,54,142.71
446,2021/8/28,1500,1809,377,SHL,Shillong,LNL,Longnan,200,1076,14,59,92.31
447,2021/10/20,1502,1802,456,RVN,Rovaniemi,JKR,Janakpur,200,1065,15,0,45.67
448,2021/12/6,1505,1638,4497,SKK,Shaktoolik,RUG,Rugao,200,277,13,10,96.37
449,2021/6/2,1505,1654,4447,EUM,Neumuenster,JDF,Juiz De Fora,200,431,15,10,187.96
450,2021/10/21,1506,1838,759,SRP,Stord,GMZ,La Gomera,200,1389,15,5,10.64
451,2021/5/18,1506,1723,407,MAI,Mangochi,RIB,Riberalta,200,1620,15,12,178.88
452,2021/6/22,1507,1651,3792,BXE,Bakel,SOY,Stronsay,200,264,15,15,16.22
453,2021/6/8,1507,1748,4309,NCU,Nukus,EDD,Erldunda,200,665,15,10,73.54
454,2021/11/29,1508,1813,1687,PEU,Puerto Lempira,POG,Port Gentil,200,937,14,50,142.85
455,2021/7/18,1510,1811,537,EIK,Eysk,BEP,Bellary,200,997,15,17,178.99
456,2021/9/7,1511,1753,2347,AXK,Ataq,BKC,Buckland,200,762,15,0,85.5
457,2021/11/5,1511,1657,1456,YFX,St. Lewis,ABX,Albury,200,292,15,15,128.44
458,2021/7/2,1512,1805,153,DCM,Castres,TFL,Teofilo Otoni,200,944,15,18,121.05
459,2021/5/20,1513,1714,4223,DUM,Dumai,ASK,Yamoussoukro,200,529,15,5,75.56
460,2021/9/24,1513,1705,4333,TJV,Tanjore,YQX,Gander,200,340,15,15,108.79
461,2021/5/9,1515,1834,347,WJU,Wonju,RBB,Borba,200,1041,14,37,124.99
462,2021/6/15,1518,1837,1699,SGD,Soenderborg,MQF,Magnetiogorsk,200,2565,15,16,82.6
463,2021/6/5,1520,1835,883,BTM,Butte,SZT,San Cristobal de las Casas,200,1372,14,30,26.11
464,2021/10/28,1520,1643,3823,MYB,Mayumba,NCE,Nice,200,213,15,25,95.84
465,2021/6/19,1520,1817,1593,OSC,Oscoda,BIR,Biratnagar,200,937,15,20,103.74
466,2021/5/2,1521,1830,507,OSW,Orsk,GUW,Atyrau,200,950,15,15,100.35
467,2021/9/26,1522,1731,4146,ANR,Antwerp,SWF,Newburgh,200,483,15,30,163.66
468,2021/8/12,1522,1858,530,YRS,Red Sucker Lake,BRD,Brainerd,200,2475,15,30,18.46
469,2021/9/8,1523,1831,1600,MBI,Mbeya,XGR,Kangiqsualujjuaq,200,2454,15,16,167.52
470,2021/12/18,1524,1828,141,JFR,Paamiut,YZU,Whitecourt,200,1028,14,57,192.17
471,2021/7/26,1525,1831,525,FUN,Funafuti,BGR,Bangor,200,937,13,40,13.72
472,2021/12/8,1525,1934,4525,SPR,San Pedro,SWO,Stillwater,200,1147,15,30,153.87
473,2021/11/1,1526,1714,4105,BFH,Curitiba,BAL,Batman,200,711,15,30,102.36
474,2021/8/18,1527,1841,1039,LYH,Lynchburg,YHZ,Halifax,200,1069,15,30,26.43
475,2021/5/28,1527,1655,8,QXH,Schoenhagen,PAV,Paulo Alfonso,200,301,14,55,27.37
476,2021/7/3,1527,1836,137,LAK,Aklavik,PNL,Pantelleria,200,1074,15,33,102.6
477,2021/10/24,1527,1854,1695,ALO,Waterloo,PBQ,Pimenta Bueno,200,1400,15,15,116.02
478,2021/6/30,1528,2002,3806,LHS,Las Heras,YSB,Sudbury,200,872,14,59,181.56
479,2021/9/4,1528,1731,2223,LBQ,Lambarene,ROC,Rochester,200,888,15,30,93.94
480,2021/11/28,1529,1720,459,PHN,Port Huron,CYA,Cayes,200,719,14,57,26.16
481,2021/12/19,1529,1733,1665,QFG,Eqalugaarsuit,APF,Naples,200,544,15,30,140.97
482,2021/9/2,1530,1650,3369,CZS,Cruzeiro do Sul,TXG,Taichung,200,184,15,30,165.56
483,2021/6/18,1531,1637,4372,MMK,Murmansk,JUL,Juliaca,200,199,14,53,131.92
484,2021/5/7,1531,1745,4572,SVG,Stavanger,BRI,Bari,200,594,14,59,153.82
485,2021/8/4,1531,1809,365,RAE,Arar,ECI,Tola,200,1605,15,20,197.48
486,2021/6/26,1534,1755,4093,YVG,Vermillion,KRC,Kerinci Regency,200,605,15,30,111.46
487,2021/11/13,1536,1709,2081,YJT,Stephenville,NVS,Nevers,200,738,15,20,151.24
488,2021/12/17,1538,1827,4,ADI,Arandis,EMK,Emmonak,200,944,15,40,163.1
489,2021/10/16,1539,1904,85,BNS,Barinas,UGU,Sugapa-Papua Island,200,2586,15,30,151.29
490,2021/10/14,1539,1853,133,VIY,Villacoublay,VHM,Vilhelmina,200,2475,15,45,118.11
491,2021/5/15,1539,1854,1222,YQY,Sydney,AVO,Avon Park,200,2227,15,37,99.18
492,2021/11/21,1540,2020,705,MKZ,Malacca,GYY,Gary,200,1598,13,38,155.69
493,2021/8/14,1542,1852,1283,SWQ,Sumbawa Island,IPH,Ipoh,200,2446,15,45,90.67
494,2021/9/5,1543,1933,1773,OSC,Oscoda,NGU,Norfolk,200,1990,15,50,33.27
495,2021/9/15,1543,1731,636,TQQ,Sulawesi Tenggara,LRD,Laredo,200,419,15,43,20.82
496,2021/5/12,1546,1753,3338,RWI,Rocky Mount,CPT,Cape Town,200,740,15,40,73.24
497,2021/10/25,1547,1823,1942,CNF,Belo Horizonte,YCE,Centralia,200,746,15,45,128.29
498,2021/9/8,1548,1751,4588,HLN,Helena,MWL,Mineral Wells,200,1020,14,20,73.66
499,2021/11/22,1549,1912,4181,PVH,Porto Velho,AMM,Amman,200,1092,14,45,82.39
500,2021/5/14,1549,1851,80,BBN,Bario,MLU,Monroe,200,1085,15,48,50.52
501,2021/11/25,1550,1844,3372,ZAM,Zamboanga,GUM,Agana,200,665,15,50,171.31
502,2021/10/13,1552,1732,5709,CEU,Clemson,NQY,Newquai,200,229,16,0,93.16
503,2021/9/26,1552,1826,620,TER,Lajes (terceira Island),RSD,Rock Sound,200,762,16,0,75.94
504,2021/10/29,1552,1749,3459,COX,Andros,LYI,Linyi,200,765,16,0,73.8
505,2021/6/17,1552,1933,565,ARR,Alto Rio Senguer,ZAM,Zamboanga,200,1391,16,0,93.89
506,2021/5/9,1554,1701,3331,YKJ,Key Lake,TIH,Tikehau,200,187,16,0,120.06
507,2021/5/18,1554,1857,847,TUC,Tucuman,YSQ,Songyuan,200,762,15,59,61.45
508,2021/7/8,1554,1830,3985,DEA,Dera Ghazi Khan,RNA,Ulawa,200,589,16,0,138.11
509,2021/8/8,1556,1737,5163,SQH,Son-La,MYR,Myrtle Beach,200,335,16,0,21.48
510,2021/6/19,1557,1910,1508,OKE,Okierabu,TKT,Tak,200,1074,16,0,143.8
511,2021/7/29,1557,1746,687,XAB,Abbeville,URC,Urumqi,200,733,16,0,199.18
512,2021/9/11,1558,1808,4502,YXC,Cranbrook,PUT,Puttaparthi,200,748,15,34,47.97
513,2021/10/5,1558,1718,5712,RDM,Redmond-Bend,BUP,Bhatinda,200,228,13,59,91.57
514,2021/6/4,1558,1910,509,BHY,Beihai,OJC,Olathe,200,1065,16,0,148.4
515,2021/11/8,1559,1844,91,SQA,Santa Ynez,GUZ,Guarapari,200,2248,16,5,36.6
516,2021/7/30,1600,1712,4088,BIU,Bildudalur,TWT,Sanga Sanga,200,94,16,10,40.13
517,2021/5/20,1601,1750,702,DRJ,Drietabbetje,KZC,Kompong Chnang,200,719,16,1,49.01
518,2021/8/12,1602,1834,1861,RUG,Rugao,IWJ,Iwami,200,1107,16,5,97.6
519,2021/7/1,1603,1720,3272,GYD,Baku,QRW,Osubi,200,282,15,47,151.3
520,2021/6/5,1603,1751,917,VSG,Lugansk,PEH,Pehuajo,200,740,15,50,96.93
521,2021/11/13,1603,1839,591,IMT,Iron Mountain,TEE,Tebessa,200,1605,16,0,12.15
522,2021/10/11,1603,1818,4415,LIS,Lisbon,KEL,Kiel,200,431,16,5,101.77
523,2021/9/30,1603,1912,367,VOD,Vodochody,QJB,Jubail,200,1065,16,0,56.19
524,2021/5/2,1604,1817,4579,BVG,Berlevag,JGO,Qeqertarsuaq Airport,200,544,15,10,103.07
525,2021/11/24,1605,1804,341,GBZ,Claris,MZO,Manzanillo,200,733,16,10,180.79
526,2021/5/28,1607,1735,12,MEE,Mare,TQQ,Sulawesi Tenggara,200,209,15,55,142.32
527,2021/7/21,1607,1711,465,NAH,Naha,TNG,Tanger,200,200,14,43,182.07
528,2021/5/2,1608,2002,763,UAK,Narssarssuaq,OSU,Columbus,200,1389,15,35,78.55
529,2021/6/23,1608,1953,1467,HYN,Huangyan,DHM,Kangra,200,1096,16,0,89.99
530,2021/12/3,1608,1847,157,MGF,Maringa,DIB,Mohanbari,200,944,16,9,156.53
531,2021/9/17,1610,1913,1411,SXX,Sao Felix do Xingu,EDL,Eldoret,200,1069,16,15,89.17
532,2021/7/16,1610,1827,1619,VUS,Veliky Ustyug,ENN,Nenana,200,1020,16,15,51.34
533,2021/9/14,1610,1852,1939,CIT,Chimkent,PIS,Poitiers,200,1620,15,55,101.91
534,2021/11/28,1611,2010,1635,LSQ,Los Angeles,VDM,Viedma,200,2133,16,1,13.66
535,2021/12/17,1615,1748,4406,ROR,Babelthuap,SDG,Sanandaj,200,319,16,2,191.57
536,2021/12/12,1619,1912,4661,WSY,Airlie Beach,WSD,White Sands,200,762,16,25,59.59
537,2021/5/13,1620,1945,1178,CEE,Cherepovets,UHE,Kunovice,200,1400,16,20,46.22
538,2021/6/1,1621,1904,95,GLD,Goodland,GEO,Georgetown,200,760,15,48,163.57
539,2021/10/19,1623,2002,35,FLL,Fort Lauderdale,UTC,Soesterberg,200,2153,16,20,129.24
540,2021/10/5,1625,2054,1635,SGH,Springfield,PUE,Puerto Obaldia,200,1598,15,50,34.57
541,2021/7/15,1626,2007,675,YUT,Repulse Bay,YYF,Penticton,200,2475,16,30,107.39
542,2021/9/18,1626,1855,702,CEK,Chelyabinsk,OCM,Brockman,200,509,16,30,146.92
543,2021/9/2,1627,1925,63,UJE,Ujae Atoll,YCL,Charlo,200,1005,14,59,65.27
544,2021/6/4,1627,1940,27,GIU,Sigiriya,SKF,San Antonio,200,2586,16,30,156.64
545,2021/6/22,1628,1740,4133,HOA,Hola,EHM,Cape Newenham,200,212,15,24,46.0
546,2021/6/30,1628,1907,920,GAY,Gaya,BNN,Bronnoysund,200,1626,16,30,79.86
547,2021/6/20,1630,1902,4352,TRK,Taraken,ULU,Gulu,200,569,15,48,146.99
548,2021/11/24,1630,1913,143,JJU,Qaqortoq,SXL,Sligo,200,1028,16,36,165.93
549,2021/6/14,1631,1740,4299,SEA,Seattle,CMQ,Clermont,200,199,16,17,79.35
550,2021/10/13,1631,1956,656,HOP,Hopkinsville,WWY,West Wyalong,200,2133,16,35,165.44
551,2021/5/22,1631,1935,1726,PCL,Pucallpa,ADQ,Kodiak,200,2425,16,30,116.68
